_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b091f21235b5c6f2e3a095,,EA Desktop,,,,,Steam,,Windows,Company:Piranha Bytes,"RPG,ARPG,","One-time game purchase,DLC",Singleplayer,"Company:Deep Silver,Company:THQ Nordic",2012-04-27,2012-04-27,,1,1,risen 2 dark waters,40390,Cracked,P2P,STEAM,2012-04-27,2012-04-27,0
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65b054561235b5c6f2e39e9d,,,,,,,Steam,,Windows,Company:Arc System Works,"Visual novel,",,Singleplayer,Company:Aksys Games,2016-03-01,2016-03-01,,1,1,xblaze code embryo,421610,Not Cracked,---,STEAM,2016-01-03,---,2940
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae2efb8ba3c82532bb122e,"Battle.net,Always online,Account",,,,,,"Steam,Always online,Account",,Windows,"Company:Treyarch,Company:Raven Software,Company:High Moon Studios,Company:Beenox,Company:Activision Shanghai,Company:Sledgehammer Games","Shooter,",,"Singleplayer, Multiplayer",Company:Activision,2020-11-13,2020-11-13,,1,1,call of duty black ops cold war,1985810,Cracked,P2P,BATTLENET,2020-11-13,2023-10-26,1077
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae2efb8ba3c82532bb122e,"Battle.net,Always online,Account",,,,,,"Steam,Always online,Account",,Windows,"Company:Treyarch,Company:Raven Software,Company:High Moon Studios,Company:Beenox,Company:Activision Shanghai,Company:Sledgehammer Games","Shooter,",,"Singleplayer, Multiplayer",Company:Activision,2020-11-13,2020-11-13,,1,1,call of duty black ops cold war,1985810,Cracked,P2P,BATTLENET,2020-11-13,2023-10-26,1077
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae00938ba3c82532bb10e4,,EA Desktop,,,,,"Steam,CD key",,Windows,"Company:DICE,Company:DICE Canada","Action,FPS,","One-time game purchase,Expansion pack","Singleplayer, Multiplayer",Company:Electronic Arts,2005-06-21,2005-06-21,SafeDisc,1,1,battlefield 2,24860,Cracked,RELOADED,STEAM,2005-06-22,2005-06-24,2
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
65ae00938ba3c82532bb10e4,,EA Desktop,,,,,"Steam,CD key",,Windows,"Company:DICE,Company:DICE Canada","Action,FPS,","One-time game purchase,Expansion pack","Singleplayer, Multiplayer",Company:Electronic Arts,2005-06-21,2005-06-21,SafeDisc,1,1,battlefield 2,24860,Cracked,RELOADED,STEAM,2005-06-22,2005-06-24,2
_id,Battlenet DRM,EA Desktop DRM,EA Play,EA Play Pro,EA Play Steam,Epic Games Store DRM,Steam DRM,Ubisoft Plus,Available on,Developers,Genres,Monetization,Modes,Publishers,Released,Released Windows,Removed DRM,Released__precision,Released Windows__precision,name,appid,crack_status,crack_team,drm,release_date,crack_date,dates_dif
